name,courseNum,courseSection,courseDept,instructor,creditHours,pathways,prerequisites,location,meetingTime,courseDescription
Low-Level Computing,1120,1,CSCI, ,1, ,CSCI-1311, , , 
Essential Information Technology,1300,1,CSCI, ,3, ,, , , 
Computers and Society,1304,1,CSCI, ,3, ,, , , 
Introduction to Programming Logic,1311,1,CSCI, ,3, ,, , , 
Introduction to Programming for Engineering,1312,1,CSCI, ,3, ,, , , 
Principles of Computer Science I,1320,1,CSCI, ,3, ,, , , 
Principles of Computer Science II,1321,1,CSCI, ,3, ,CSCI-1320, , , 
Discrete Structures,1323,1,CSCI, ,3, ,CSCI-1311, , , 
Computer Science Colloquium,2094,1,CSCI, ,0, ,, , , 
Competitive Programming,2195,1,CSCI, ,1, ,CSCI-1320, , , 
Principles of Data Abstraction,2320,1,CSCI, ,3, ,CSCI-1321, , , 
Principles of Computer Design,2321,1,CSCI, ,3, ,CSCI-1321, , , 
Principles of Functional Languages,2322,1,CSCI, ,3, ,CSCI-1311 CSCI-1312 CSCI-1320, , , 
Scientific Computing,2323,1,CSCI, ,3, ,CSCI-1320, , , 
Numerical Calculus,2324,1,CSCI, ,3, ,CSCI-1320, , , 
Directed Study,3090,1,CSCI, ,0, ,CSCI-1323 CSCI-2320, , , 
Seminar,3094,1,CSCI, ,0, ,CSCI-1323 CSCI-2320, , , 
Directed Study,3190,1,CSCI, ,1, ,CSCI-1323 CSCI-2320, , , 
Special Topics in Theory,3193,1,CSCI, ,1, ,CSCI-1321 CSCI-1323, , , 
Seminar,3194,1,CSCI, ,1, ,CSCI-1323 CSCI-2320, , , 
Special Topics in Applications,3195,1,CSCI, ,1, ,CSCI-1321 CSCI-1323, , , 
Special Topics Systems,3196,1,CSCI, ,1, ,CSCI-1321 CSCI-1323, , , 
Special Topics in Design,3197,1,CSCI, ,1, ,CSCI-1321 CSCI-1323, , , 
Advanced Unix Command-Line Tools,3215,1,CSCI, ,2, ,CSCI-1320, , , 
Directed Study,3290,1,CSCI, ,2, ,CSCI-1323 CSCI-2320, , , 
Special Topics in Theory,3293,1,CSCI, ,2, ,CSCI-1321 CSCI-1323, , , 
Seminar,3294,1,CSCI, ,2, ,CSCI-1323 CSCI-2320, , , 
Special Topics in Applications,3295,1,CSCI, ,2, ,CSCI-1321 CSCI-1323, , , 
Special Topics Systems,3296,1,CSCI, ,2, ,CSCI-1321 CSCI-1323, , , 
Special Topics in Design,3297,1,CSCI, ,2, ,CSCI-1321 CSCI-1323, , , 
Information Assurance and Security,3311,1,CSCI, ,3, ,CSCI-1321, , , 
Introduction to Game Development,3312,1,CSCI, ,3, ,CSCI-2320 CSCI-3321, , , 
Principles of Theoretical Computer Science,3320,1,CSCI, ,3, ,CSCI-1323, , , 
Principles of Software Engineering,3321,1,CSCI, ,3, ,CSCI-2320 CSCI-1323, , , 
Principles of Algorithms,3322,1,CSCI, ,3, ,CSCI-2320, , , 
Principles of Operating Systems,3323,1,CSCI, ,3, ,CSCI-2321, , , 
Compiler Construction,3334,1,CSCI, ,3, ,CSCI-2321, , , 
Computer & Network Security,3342,1,CSCI, ,3, ,CSCI-2320, , , 
Database Systems,3343,1,CSCI, ,3, ,CSCI-2320, , , 
Artificial Intelligence,3344,1,CSCI, ,3, ,CSCI-1323 CSCI-2320, , , 
Web Application Design,3345,1,CSCI, ,3, ,CSCI-2320 CSCI-3321 CSCI-1321 CSCI-3321, , , 
Numerical Analysis I,3351,1,CSCI, ,3, ,CSCI-1321, , , 
Graphics,3353,1,CSCI, ,3, ,CSCI-2320, , , 
Big Data and Machine Learning,3354,1,CSCI, ,3, ,CSCI-1321, , , 
Analysis of Algorithms,3361,1,CSCI, ,3, ,CSCI-1321 CSCI-1323, , , 
Effective Programming Techniques,3362,1,CSCI, ,3, ,CSCI-2320 CSCI-3321, , , 
Parallel and Distributed Programming,3366,1,CSCI, ,3, ,CSCI-2320, , , 
Principles of Programming Languages,3368,1,CSCI, ,3, ,CSCI-2320 CSCI-2322, , , 
Directed Study,3390,1,CSCI, ,3, ,CSCI-1323 CSCI-2320, , , 
Special Topics in Theory,3393,1,CSCI, ,3, ,CSCI-1321 CSCI-1323, , , 
Seminar,3394,1,CSCI, ,3, ,CSCI-1323 CSCI-2320, , , 
Special Topics in Applications,3395,1,CSCI, ,3, ,CSCI-1321 CSCI-1323, , , 
Special Topics Systems,3396,1,CSCI, ,3, ,CSCI-1321 CSCI-1323, , , 
Special Topics in Design,3397,1,CSCI, ,3, ,CSCI-1321 CSCI-1323, , , 
Thesis Reading,3398,1,CSCI, ,3, ,CSCI-1323 CSCI-2320, , , 
Directed Study,3490,1,CSCI, ,4, ,CSCI-1323 CSCI-1323 CSCI-2320 CSCI-2320, , , 
Directed Study,3590,1,CSCI, ,5, ,CSCI-1323 CSCI-2320, , , 
Directed Study,3690,1,CSCI, ,6, ,CSCI-1323 CSCI-2320, , , 
Advanced Game Development,4312,1,CSCI, ,3, ,CSCI-3312, , , 
Advanced Graphics,4353,1,CSCI, ,3, ,CSCI-3353, , , 
Advanced Theoretical Computer Science,4365,1,CSCI, ,3, ,CSCI-3320, , , 
Senior Software Project I,4385,1,CSCI, ,3, ,CSCI-9999, , , 
Senior Software Project II,4386,1,CSCI, ,3, ,CSCI-4385, , , 
Thesis I,4398,1,CSCI, ,3, ,CSCI-3398, , , 
Thesis II,4399,1,CSCI, ,3, ,CSCI-4398, , , 
